iter	Passed	Remaining
0	62	29161
1	67	15691
2	72	11146
3	77	8963
4	83	7702
5	89	6839
6	94	6197
7	100	5767
8	105	5360
9	111	5066
10	116	4823
11	122	4611
12	127	4419
13	132	4252
14	136	4106
15	141	3974
16	146	3860
17	150	3745
18	155	3654
19	160	3564
20	164	3468
21	168	3392
22	172	3315
23	176	3248
24	181	3189
25	185	3132
26	190	3083
27	194	3041
28	199	2998
29	203	2957
30	208	2920
31	213	2887
32	217	2846
33	221	2808
34	225	2772
35	230	2747
36	234	2716
37	239	2687
38	244	2666
39	248	2639
40	252	2614
41	257	2590
42	262	2572
43	266	2545
44	270	2522
45	274	2496
46	278	2476
47	282	2453
48	287	2436
49	292	2427
50	297	2411
51	301	2393
52	305	2376
53	310	2362
54	315	2349
55	320	2341
56	325	2329
57	330	2319
58	335	2309
59	340	2297
60	344	2280
61	348	2264
62	352	2249
63	357	2237
64	361	2225
65	365	2210
66	369	2197
67	374	2186
68	378	2173
69	382	2161
70	387	2148
71	390	2133
72	394	2119
73	398	2107
74	403	2096
75	407	2084
76	412	2076
77	417	2070
78	422	2062
79	426	2052
80	431	2044
81	436	2036
82	440	2027
83	445	2019
84	450	2013
85	455	2005
86	459	1996
87	464	1989
88	471	1990
89	475	1980
90	480	1974
91	486	1972
92	491	1965
93	497	1962
94	503	1960
95	508	1955
96	515	1955
97	521	1951
98	526	1945
99	533	1946
100	538	1941
101	544	1938
102	551	1937
103	557	1935
104	564	1933
105	570	1930
106	575	1926
107	582	1924
108	588	1920
109	594	1917
110	600	1915
111	606	1910
112	612	1907
113	618	1904
114	625	1902
115	633	1904
116	639	1900
117	646	1901
118	653	1898
119	658	1893
120	664	1889
121	670	1885
122	676	1881
123	683	1879
124	688	1873
125	694	1868
126	700	1863
127	704	1854
128	709	1847
129	713	1839
130	718	1832
131	723	1825
132	727	1816
133	733	1811
134	738	1804
135	742	1797
136	748	1792
137	753	1786
138	758	1778
139	764	1775
140	769	1768
141	775	1764
142	782	1761
143	787	1755
144	794	1752
145	800	1748
146	804	1741
147	809	1733
148	814	1727
149	819	1720
150	823	1712
151	828	1705
152	833	1699
153	837	1690
154	841	1683
155	847	1678
156	852	1671
157	856	1663
158	860	1656
159	866	1651
160	871	1644
161	875	1638
162	882	1634
163	886	1627
164	891	1620
165	897	1616
166	901	1609
167	906	1602
168	910	1595
169	916	1590
170	921	1584
171	927	1580
172	933	1575
173	939	1571
174	946	1568
175	952	1564
176	959	1560
177	965	1556
178	972	1553
179	978	1549
180	984	1544
181	989	1538
182	996	1535
183	1001	1529
184	1007	1525
185	1014	1521
186	1019	1516
187	1026	1511
188	1031	1506
189	1037	1501
190	1043	1497
191	1049	1491
192	1054	1485
193	1061	1482
194	1066	1477
195	1072	1472
196	1079	1468
197	1084	1462
198	1091	1459
199	1097	1454
200	1102	1448
201	1109	1444
202	1115	1439
203	1120	1433
204	1127	1430
205	1133	1424
206	1139	1419
207	1145	1415
208	1150	1409
209	1156	1404
210	1163	1400
211	1169	1395
212	1176	1392
213	1182	1386
214	1188	1381
215	1194	1377
216	1200	1371
217	1206	1367
218	1213	1362
219	1218	1357
220	1225	1353
221	1231	1348
222	1238	1343
223	1244	1339
224	1249	1333
225	1256	1328
226	1262	1323
227	1266	1316
228	1272	1311
229	1278	1306
230	1282	1299
231	1287	1292
232	1291	1286
233	1295	1279
234	1300	1272
235	1304	1265
236	1308	1259
237	1313	1252
238	1317	1245
239	1321	1239
240	1325	1232
241	1330	1225
242	1334	1218
243	1338	1212
244	1342	1205
245	1346	1198
246	1350	1192
247	1355	1185
248	1359	1179
249	1364	1173
250	1368	1166
251	1372	1159
252	1376	1153
253	1381	1147
254	1385	1141
255	1389	1134
256	1393	1128
257	1398	1122
258	1403	1116
259	1409	1110
260	1413	1104
261	1418	1099
262	1425	1094
263	1429	1088
264	1434	1082
265	1439	1077
266	1444	1071
267	1448	1064
268	1454	1059
269	1459	1054
270	1464	1048
271	1471	1043
272	1476	1038
273	1481	1032
274	1486	1027
275	1492	1021
276	1496	1015
277	1502	1010
278	1507	1005
279	1512	999
280	1517	993
281	1522	988
282	1527	982
283	1532	976
284	1538	971
